"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"224576_at",0.625025210643019,7.38807326241135,2.20434447199105,0.0291450402958757,0.0474804923792712,-5.01493305973852
"228927_at",0.481551374722839,9.11193794326241,2.204158621934,0.0291584008272196,0.0474996677888282,-5.01533025447997
"223162_s_at",0.528479401330381,7.98847666666667,2.20399478927875,0.0291701829726707,0.0475162700224981,-5.01568036821401
"230972_at",-0.548362594235035,8.34046482269503,-2.20378757037764,0.0291850912030838,0.0475379623505846,-5.01612316449434
"243588_at",0.677819667405765,2.6994875177305,2.20352264449898,0.0292041607774394,0.047566430124009,-5.01668921555903
"219697_at",-0.700284811529932,3.72577546099291,-2.20347957198289,0.0292072621952782,0.0475688879925605,-5.0167812399974
"218240_at",0.3705855654102,7.7879624822695,2.20325299752997,0.0292235813079956,0.0475928716357058,-5.01726528874487
"241798_at",0.374526629711751,8.13634,2.20307950274536,0.0292360826979548,0.0476106355449194,-5.01763590786977
"222744_s_at",0.586206895787139,6.04251865248227,2.20298143611754,0.0292431510724695,0.0476195503945425,-5.0178453855185
"231075_x_at",-0.54789753880266,7.34314496453901,-2.20279561041384,0.0292565489580764,0.0476379972908692,-5.01824229927082
"239077_at",0.216403148558759,3.47164496453901,2.20278008355498,0.0292576686739054,0.0476379972908692,-5.01827546239684
"203686_at",0.417841618625281,7.00192709219858,2.20240481929845,0.0292847421072986,0.0476794801052612,-5.01907690631889
"206945_at",0.5822922172949,2.23609035460993,2.2023605304171,0.0292879387649095,0.0476820859297042,-5.01917148474578
"220885_s_at",0.315131507760532,2.74104929078014,2.20189223402957,0.0293217577677126,0.0477345433130724,-5.0201714181145
"233124_s_at",0.807900133037693,8.58764390070922,2.20140184331228,0.0293572087562087,0.0477896516361083,-5.02121831605901
"221019_s_at",-1.2046445676275,8.01698588652482,-2.20134838417109,0.0293610756398695,0.0477933420112152,-5.0213324287822
"217768_at",0.313909090909087,12.1559893617021,2.20098846435865,0.0293871214099878,0.0478331323424272,-5.0221006385503
"219548_at",0.514230975609756,6.5153370212766,2.20091344007518,0.0293925531080965,0.0478393668409157,-5.02226075498794
"213941_x_at",-0.190588691796007,14.2923879432624,-2.20077865366334,0.0294023137296311,0.0478518400351967,-5.02254840266673
"231812_x_at",-0.216123148558756,6.00489638297872,-2.20076337477146,0.0294034203356231,0.0478518400351967,-5.02258100831307
