"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"235198_at",1.04991414634147,5.82779021276596,4.19866024785062,4.76808028964407e-05,0.000127300797651745,0.915097941079145
"240861_at",-1.22857053215078,4.42714397163121,-4.19659545202634,4.80678483505372e-05,0.000128311217386793,0.907381714919884
"230746_s_at",2.5998144789357,9.49354035460993,4.19580485323592,4.82168415041141e-05,0.000128685938198195,0.90442799295729
"212282_at",1.95712623059867,8.53561588652482,4.19255443412885,4.88340657273982e-05,0.000130240161188694,0.892288770711296
"219654_at",2.1915567849224,4.64668929078014,4.1924662526857,4.88509155873792e-05,0.000130273469143169,0.891959544191501
"203830_at",1.19952871396895,6.33284404255319,4.19187214780342,4.89645834422834e-05,0.000130564938067601,0.889741585994265
"231033_at",1.7225010864745,3.27789482269504,4.19070187793644,4.91892284690744e-05,0.000131140546368287,0.88537335642844
"214439_x_at",-1.35489372505543,6.91707262411347,-4.18982910037169,4.93574093895253e-05,0.00013154196544681,0.882116182189781
"218298_s_at",-1.21343372505543,7.616,-4.1896100204845,4.93997116765791e-05,0.000131642960474081,0.881298666524666
"203130_s_at",-2.16243203991131,7.54414056737589,-4.18946429095301,4.94278699290762e-05,0.000131706249076023,0.880754882439922
"1566558_x_at",-1.27244365853659,6.00985375886525,-4.18903173867897,4.95115394382164e-05,0.000131905664642632,0.879140916751448
"1554470_s_at",1.11722716186253,5.47603687943262,4.18888098959564,4.95407310295959e-05,0.000131971665600777,0.878578462830671
"201048_x_at",1.4175732150776,5.48241780141844,4.1888224071945,4.95520795838299e-05,0.000131990126919996,0.878359892591321
"220246_at",1.21225917960089,3.51844737588652,4.18804223924222,4.97034510013168e-05,0.000132346126371542,0.87544932111089
"229636_at",-1.12679787139689,3.26791056737589,-4.18713402047051,4.98802254550817e-05,0.000132804988860932,0.872061559894245
"203580_s_at",1.04522252771619,6.9504619858156,4.18626056118396,5.00508024783291e-05,0.000133223525121191,0.86880399280906
"237483_at",-1.49949645232816,6.53247127659574,-4.18473101306464,5.03508535076806e-05,0.000133978617243065,0.863100810991176
"232213_at",1.25808835920177,6.78951070921986,4.18222095334731,5.08469890619203e-05,0.000135246380931951,0.853745125967249
"222830_at",1.89263611973393,9.37598368794326,4.18166056097002,5.0958393346518e-05,0.00013553063429848,0.851656983419424
"226604_at",-1.06814849223947,7.88562574468085,-4.18057812161588,5.11742413346927e-05,0.000136080479917329,0.847624196026208
"227152_at",1.30514042128603,7.23813361702128,4.18022458255089,5.12449296995267e-05,0.000136256322644767,0.846307209569765
"224975_at",-1.48639501108647,9.75962567375887,-4.18008992795636,5.12718778006436e-05,0.000136315842429568,0.845805623572172
"209312_x_at",1.43193192904656,13.0501819858156,4.1797875099886,5.13324494719753e-05,0.00013646473819314,0.844679167645234
"210831_s_at",-1.18261028824834,2.97861595744681,-4.17909929327023,5.14705488560788e-05,0.000136807518994363,0.842115912104157
"210605_s_at",-1.59680827050998,8.5897195035461,-4.17819920430927,5.16517002585142e-05,0.000137276800873896,0.838764034971359
"220261_s_at",1.61385354767184,6.83942673758865,4.17730599205236,5.1832071302593e-05,0.000137743925453461,0.835438320103993
"1555829_at",1.11508201773836,5.23291432624113,4.1770046628633,5.18930562742408e-05,0.000137893726212453,0.834316499643572
"208420_x_at",-1.27911629711752,6.9708390070922,-4.17679921717154,5.19346751153814e-05,0.00013797977140891,0.833551680504659
"236347_at",1.09913394678492,5.95213907801418,4.17515820321787,5.22682584947746e-05,0.000138791972090169,0.827443674256491
"223779_at",2.03508971175166,2.36990085106383,4.17360846999678,5.25851699523076e-05,0.000139608672412485,0.82167713397876
"228402_at",-1.09679643015521,6.46330673758865,-4.17259035733975,5.2794368888134e-05,0.00014013916667809,0.817889652611946
"207002_s_at",-1.75115782705099,8.58885340425532,-4.17216244362399,5.28825331129524e-05,0.00014036072071819,0.816297984749983
"236635_at",-1.79808199556541,5.84663234042553,-4.17111995917181,5.30979096303554e-05,0.000140919852024485,0.812420890153621
